,OXYGEN             ,TEMPERATURE            ,HUMIDITY               ,FIRE OCCURANCE              
a,40,45,20,1
b,50,30,10,1
c,10,20,70,0
d,60,45,70,1
e,30,48,10,1
f,50,15,30,0
g,5,35,35,0
h,5,20,70,0
i,60,32,19,1
j,30,50,45,1
k,40,55,80,1
l,30,39,100,0
m,10,12,12,0
n,20,23,23,0
o,60,34,15,1
p,80,4,68,0
q,25,56,79,1
r,12,45,90,0
s,28,43,15,1
t,26,0,32,0
u,32,37,21,1
v,45,48,12,1
w,56,15,65,0
x,67,45,33,1
y,78,49,8,1
z,89,45,21,1
aa,21,12,44,0
ab,11,20,59,0
ac,1,32,70,0
ad,5,20,45,0
ae,42,43,20,1
af,32,60,30,1
ag,5,15,5,0
ah,20,30,5,1
ai,30,51,2,1
aj,60,60,10,1
ak,10,10,60,0
al,0,30,0,1
am,45,45,15,1
